season,rank,team,full_name,pos,gsis_id,pff_id
2011,1,NE,Tom Brady,QB,00-0019596,698
2011,2,IND,Peyton Manning,QB,00-0010346,327
2011,3,MIN,Adrian Peterson,HB,00-0025394,3623
2011,4,BAL,Ray Lewis,LB,00-0009889,167
2011,5,BAL,Ed Reed,S,00-0021377,1031
2011,6,PIT,Troy Polamalu,S,00-0022119,1332
2011,7,HOU,Andre Johnson,WR,00-0022044,1319
2011,8,NYJ,Darrelle Revis,CB,00-0025401,3630
2011,9,NO,Drew Brees,QB,00-0020531,802
2011,10,CHI,Julius Peppers,ED,00-0021140,1010
2011,11,GB,Aaron Rodgers,QB,00-0023459,2241
2011,12,DAL,DeMarcus Ware,ED,00-0023445,2228
2011,13,TEN,Chris Johnson,HB,00-0026164,4338
2011,14,ARI,Larry Fitzgerald,WR,00-0022921,1724
2011,15,IND,Dwight Freeney,ED,00-0021146,1019
2011,16,GB,Charles Woodson,S,00-0018227,330
2011,17,BAL,Haloti Ngata,DI,00-0024227,2957
2011,18,PHI,Nnamdi Asomugha,CB,00-0022077,1347
2011,19,GB,Clay Matthews,ED,00-0027002,4949
2011,20,PHI,Mike Vick,QB,00-0020245,773
2011,21,PIT,James Harrison,ED,00-0020712,1251
2011,22,LAC,Antonio Gates,TE,00-0021547,1609
2011,23,SF,Patrick Willis,LB,00-0025398,3627
2011,24,ATL,Roddy White,WR,00-0023462,2244
2011,25,HOU,Arian Foster,HB,00-0026796,5398
2011,26,LAC,Philip Rivers,QB,00-0022942,1725
2011,27,DET,Calvin Johnson,WR,00-0025389,3618
2011,28,MIA,Jake Long,T,00-0025820,4315
2011,29,PHI,DeSean Jackson,WR,00-0026189,4363
2011,30,JAX,Maurice Jones-Drew,HB,00-0024275,3005
2011,31,IND,Reggie Wayne,WR,00-0020498,800
2011,32,CHI,Devin Hester,WR,00-0024272,3002
2011,33,KC,Jamaal Charles,HB,00-0026213,4387
2011,34,NO,Jahri Evans,G,00-0024323,3053
2011,35,NE,Vince Wilfork,DI,00-0022712,1742
2011,36,DAL,Jason Witten,TE,00-0022127,1384
2011,37,NO,Jonathan Vilma,LB,00-0022778,1733
2011,38,LA,Steven Jackson,HB,00-0022736,1745
2011,39,NE,Logan Mankins,G,00-0023467,2249
2011,40,BAL,Terrell Suggs,ED,00-0022161,1326
2011,41,PIT,Ben Roethlisberger,QB,00-0022924,1732
2011,42,ATL,Michael Turner,HB,00-0022821,1873
2011,43,CLE,Joe Thomas,T,00-0025390,3619
2011,44,IND,Robert Mathis,ED,00-0022059,1447
2011,45,KC,Dwayne Bowe,WR,00-0025410,3639
2011,46,ATL,Tony Gonzalez,TE,00-0006101,237
2011,47,NYJ,Nick Mangold,C,00-0024244,2974
2011,48,DEN,Champ Bailey,CB,00-0000585,442
2011,49,CHI,Brian Urlacher,LB,00-0019456,587
2011,50,NE,Wes Welker,WR,00-0022427,2204
2011,51,DET,Ndamukong Suh,DI,00-0027855,5527
2011,52,ATL,Matt Ryan,QB,00-0026143,4317
2011,53,NO,Marques Colston,WR,00-0024466,3197
2011,54,PHI,Asante Samuel,CB,00-0021956,1432
2011,55,NO,Carl Nicks,G,00-0026304,4478
2011,56,BAL,Ray Rice,HB,00-0026195,4369
2011,57,BAL,Andre Gurode,C,00-0021385,1044
2011,58,LA,Brandon Lloyd,WR,00-0022097,1436
2011,59,IND,Jeff Saturday,C,00-0014375,431
2011,60,NYG,Justin Tuck,DI,00-0023509,2291
2011,61,MIA,Brandon Marshall,WR,00-0024334,3064
2011,62,NE,Jerod Mayo,LB,00-0026150,4324
2011,63,MIA,Cameron Wake,ED,00-0023368,4907
2011,64,KC,Tamba Hali,ED,00-0024235,2965
2011,65,BAL,Vonta Leach,FB,00-0022397,2100
2011,66,LV,Richard Seymour,DI,00-0020442,778
2011,67,NE,Brian Waters,G,00-0018584,575
2011,68,NYG,Antrel Rolle,S,00-0023443,2225
2011,69,ATL,John Abraham,ED,00-0019546,591
2011,70,DAL,Miles Austin,WR,00-0023921,3211
2011,71,HOU,Mario Williams,ED,00-0023750,2946
2011,72,DAL,Tony Romo,QB,00-0021678,1693
2011,73,PHI,Trent Cole,ED,00-0023579,2363
2011,74,GB,Greg Jennings,WR,00-0024267,2997
2011,75,DAL,Jay Ratliff,DI,00-0023656,2441
2011,76,NYJ,Santonio Holmes,WR,00-0024240,2970
2011,77,NYG,Chris Snee,G,00-0022838,1755
2011,78,IND,Dallas Clark,TE,00-0022165,1340
2011,79,NYJ,D'Brickashaw Ferguson,T,00-0024219,2949
2011,80,MIN,Jared Allen,ED,00-0022740,1847
2011,81,GB,B.J. Raji,DI,00-0026985,4932
2011,82,PIT,LaMarr Woodley,ED,00-0025433,3662
2011,83,TB,Mike Williams,WR,00-0027702,5625
2011,84,CLE,Josh Cribbs,WR,00-0023176,2544
2011,85,PHI,Jason Babin,ED,00-0022695,1748
2011,86,TB,Josh Freeman,QB,00-0026993,4940
2011,87,CAR,Jordan Gross,T,00-0022117,1324
2011,88,SF,Vernon Davis,TE,00-0024221,2951
2011,89,ARI,Adrian Wilson,S,00-0020505,831
2011,90,BAL,Joe Flacco,QB,00-0026158,4332
2011,91,CIN,Terrell Owens,WR,00-0012478,188
2011,92,CHI,Lance Briggs,LB,00-0022128,1383
2011,93,KC,Eric Berry,S,00-0027858,5530
2011,94,SF,Frank Gore,HB,00-0023500,2282
2011,95,CAR,Jon Beason,LB,00-0025412,3641
2011,96,GB,Nick Collins,S,00-0023486,2268
2011,97,LAC,Shaun Phillips,ED,00-0022723,1819
2011,98,LV,Darren McFadden,HB,00-0026144,4318
2011,99,GB,Chad Clifton,T,00-0019702,614
2011,100,MIN,Donovan McNabb,QB,00-0011022,438
2012,1,GB,Aaron Rodgers,QB,00-0023459,2241
2012,2,NO,Drew Brees,QB,00-0020531,802
2012,3,DET,Calvin Johnson,WR,00-0025389,3618
2012,4,NE,Tom Brady,QB,00-0019596,698
2012,5,NYJ,Darrelle Revis,CB,00-0025401,3630
2012,6,DAL,DeMarcus Ware,ED,00-0023445,2228
2012,7,ARI,Larry Fitzgerald,WR,00-0022921,1724
2012,8,MIN,Adrian Peterson,HB,00-0025394,3623
2012,9,BAL,Haloti Ngata,DI,00-0024227,2957
2012,10,SF,Patrick Willis,LB,00-0025398,3627
2012,11,BAL,Terrell Suggs,ED,00-0022161,1326
2012,12,JAX,Maurice Jones-Drew,HB,00-0024275,3005
2012,13,MIN,Jared Allen,ED,00-0022740,1847
2012,14,NO,Jimmy Graham,TE,00-0027696,5619
2012,15,HOU,Andre Johnson,WR,00-0022044,1319
2012,16,BAL,Ed Reed,S,00-0021377,1031
2012,17,SF,Justin Smith,DI,00-0020535,776
2012,18,PHI,LeSean McCoy,HB,00-0027029,4976
2012,19,PIT,Troy Polamalu,S,00-0022119,1332
2012,20,BAL,Ray Lewis,LB,00-0009889,167
2012,21,NE,Rob Gronkowski,TE,00-0027656,5567
2012,22,BAL,Ray Rice,HB,00-0026195,4369
2012,23,NE,Wes Welker,WR,00-0022427,2204
2012,24,NYG,Jason Pierre-Paul,ED,00-0027867,5540
2012,25,HOU,Arian Foster,HB,00-0026796,5398
2012,26,CHI,Julius Peppers,ED,00-0021140,1010
2012,27,GB,Clay Matthews,ED,00-0027002,4949
2012,28,SF,Frank Gore,HB,00-0023500,2282
2012,29,PIT,James Harrison,ED,00-0020712,1251
2012,30,PIT,Ben Roethlisberger,QB,00-0022924,1732
2012,31,NYG,Eli Manning,QB,00-0022803,1722
2012,32,NO,Jahri Evans,G,00-0024323,3053
2012,33,CHI,Matt Forte,HB,00-0026184,4358
2012,34,KC,Tamba Hali,ED,00-0024235,2965
2012,35,CAR,Steve Smith,WR,00-0020337,837
2012,36,GB,Charles Woodson,S,00-0018227,330
2012,37,LA,Steven Jackson,HB,00-0022736,1745
2012,38,DET,Ndamukong Suh,DI,00-0027855,5527
2012,39,NYG,Victor Cruz,WR,00-0027265,5827
2012,40,CAR,Cam Newton,QB,00-0027939,6153
2012,41,DET,Matthew Stafford,QB,00-0026498,4924
2012,42,PHI,Jason Peters,T,00-0022531,2148
2012,43,SF,Vernon Davis,TE,00-0024221,2951
2012,44,JAX,Jason Babin,ED,00-0022695,1748
2012,45,BAL,Vonta Leach,FB,00-0022397,2100
2012,46,DEN,Champ Bailey,CB,00-0000585,442
2012,47,PIT,Mike Wallace,WR,00-0026901,5007
2012,48,CHI,Devin Hester,WR,00-0024272,3002
2012,49,PIT,Maurkice Pouncey,C,00-0027870,5543
2012,50,DEN,Peyton Manning,QB,00-0010346,327
2012,51,CHI,Brian Urlacher,LB,00-0019456,587
2012,52,DEN,Von Miller,ED,00-0027940,6154
2012,53,ATL,Tony Gonzalez,TE,00-0006101,237
2012,54,HOU,Brian Cushing,LB,00-0026991,4938
2012,55,ARI,Patrick Peterson,CB,00-0027943,6157
2012,56,GB,Greg Jennings,WR,00-0024267,2997
2012,57,PHI,Trent Cole,ED,00-0023579,2363
2012,58,NO,Jonathan Vilma,LB,00-0022778,1733
2012,59,MIA,Jake Long,T,00-0025820,4315
2012,60,LV,Darren McFadden,HB,00-0026144,4318
2012,61,LAC,Philip Rivers,QB,00-0022942,1725
2012,62,NYG,Justin Tuck,DI,00-0023509,2291
2012,63,PIT,LaMarr Woodley,ED,00-0025433,3662
2012,64,NE,Logan Mankins,G,00-0023467,2249
2012,65,ATL,Roddy White,WR,00-0023462,2244
2012,66,SEA,Earl Thomas,S,00-0027866,5539
2012,67,SF,Joe Staley,T,00-0025415,3644
2012,68,DEN,Elvis Dumervil,ED,00-0024341,3071
2012,69,SF,Carlos Rogers,CB,00-0023444,2226
2012,70,PHI,Mike Vick,QB,00-0020245,773
2012,71,PHI,DeSean Jackson,WR,00-0026189,4363
2012,72,CHI,Lance Briggs,LB,00-0022128,1383
2012,73,HOU,Johnathan Joseph,CB,00-0024239,2969
2012,74,BAL,Joe Flacco,QB,00-0026158,4332
2012,75,DAL,Jason Witten,TE,00-0022127,1384
2012,76,TB,Carl Nicks,G,00-0026304,4478
2012,77,CIN,A.J. Green,WR,00-0027942,6156
2012,78,KC,Derrick Johnson,LB,00-0023449,2232
2012,79,PHI,Nnamdi Asomugha,CB,00-0022077,1347
2012,80,GB,Jordy Nelson,WR,00-0026176,4350
2012,81,NE,Vince Wilfork,DI,00-0022712,1742
2012,82,CLE,Joe Thomas,T,00-0025390,3619
2012,83,BUF,Fred Jackson,HB,00-0024204,3368
2012,84,LA,Chris Long,ED,00-0026142,4316
2012,85,SF,NaVorro Bowman,LB,00-0027894,5615
2012,86,NO,Darren Sproles,HB,00-0023564,2347
2012,87,WAS,London Fletcher,LB,00-0005322,424
2012,88,ATL,Michael Turner,HB,00-0022821,1873
2012,89,IND,Dwight Freeney,ED,00-0021146,1019
2012,90,NYG,Hakeem Nicks,WR,00-0027005,4952
2012,91,DAL,Tony Romo,QB,00-0021678,1693
2012,92,GB,John Kuhn,FB,00-0022999,2686
2012,93,LA,Cortland Finnegan,CB,00-0024429,3160
2012,94,SEA,Marshawn Lynch,HB,00-0025399,3628
2012,95,NYJ,Tim Tebow,QB,00-0027876,5550
2012,96,CLE,D'Qwell Jackson,LB,00-0024249,2979
2012,97,TB,Donald Penn,T,00-0023894,3459
2012,98,DEN,Willis McGahee,HB,00-0022178,1339
2012,99,CAR,Ryan Kalil,C,00-0025446,3675
2012,100,TEN,Chris Johnson,HB,00-0026164,4338
2013,1,MIN,Adrian Peterson,HB,00-0025394,3623
2013,2,DEN,Peyton Manning,QB,00-0010346,327
2013,3,DET,Calvin Johnson,WR,00-0025389,3618
2013,4,NE,Tom Brady,QB,00-0019596,698
2013,5,HOU,J.J. Watt,ED,00-0027949,6163
2013,6,GB,Aaron Rodgers,QB,00-0023459,2241
2013,7,SF,Aldon Smith,ED,00-0027945,6159
2013,8,HOU,Arian Foster,HB,00-0026796,5398
2013,9,DEN,Von Miller,ED,00-0027940,6154
2013,10,SF,Patrick Willis,LB,00-0025398,3627
2013,11,NO,Drew Brees,QB,00-0020531,802
2013,12,DAL,DeMarcus Ware,ED,00-0023445,2228
2013,13,BAL,Ray Rice,HB,00-0026195,4369
2013,14,HOU,Andre Johnson,WR,00-0022044,1319
2013,15,WAS,Robert Griffin III,QB,00-0029665,7008
2013,16,CIN,A.J. Green,WR,00-0027942,6156
2013,17,ATL,Matt Ryan,QB,00-0026143,4317
2013,18,NYJ,Ed Reed,S,00-0021377,1031
2013,19,BAL,Joe Flacco,QB,00-0026158,4332
2013,20,KC,Jamaal Charles,HB,00-0026213,4387
2013,21,IND,Reggie Wayne,WR,00-0020498,800
2013,22,ARI,Larry Fitzgerald,WR,00-0022921,1724
2013,23,IND,Andrew Luck,QB,00-0029668,7007
2013,24,SEA,Marshawn Lynch,HB,00-0025399,3628
2013,25,NE,Rob Gronkowski,TE,00-0027656,5567
2013,26,ATL,Julio Jones,WR,00-0027944,6158
2013,27,CHI,Brandon Marshall,WR,00-0024334,3064
2013,28,CLE,Joe Thomas,T,00-0025390,3619
2013,29,SF,Justin Smith,DI,00-0020535,776
2013,30,NE,Vince Wilfork,DI,00-0022712,1742
2013,31,GB,Clay Matthews,ED,00-0027002,4949
2013,32,SF,Frank Gore,HB,00-0023500,2282
2013,33,ARI,Patrick Peterson,CB,00-0027943,6157
2013,34,CHI,Charles Tillman,CB,00-0022123,1351
2013,35,DAL,Dez Bryant,WR,00-0027902,5549
2013,36,CIN,Geno Atkins,DI,00-0027720,5643
2013,37,SF,NaVorro Bowman,LB,00-0027894,5615
2013,38,SF,Vernon Davis,TE,00-0024221,2951
2013,39,ATL,Roddy White,WR,00-0023462,2244
2013,40,DET,Ndamukong Suh,DI,00-0027855,5527
2013,41,DAL,Jason Witten,TE,00-0022127,1384
2013,42,BAL,Haloti Ngata,DI,00-0024227,2957
2013,43,NYG,Eli Manning,QB,00-0022803,1722
2013,44,DEN,Wes Welker,WR,00-0022427,2204
2013,45,PHI,LeSean McCoy,HB,00-0027029,4976
2013,46,CAR,Cam Newton,QB,00-0027939,6153
2013,47,ATL,Tony Gonzalez,TE,00-0006101,237
2013,48,HOU,Duane Brown,T,00-0026166,4340
2013,49,KC,Justin Houston,ED,00-0028008,6222
2013,50,SEA,Richard Sherman,CB,00-0028092,6306
2013,51,SEA,Russell Wilson,QB,00-0029263,7077
2013,52,TB,Vincent Jackson,WR,00-0023496,2278
2013,53,DEN,Champ Bailey,CB,00-0000585,442
2013,54,CHI,Julius Peppers,ED,00-0021140,1010
2013,55,NYG,Jason Pierre-Paul,ED,00-0027867,5540
2013,56,BAL,Terrell Suggs,ED,00-0022161,1326
2013,57,TB,Doug Martin,HB,00-0029613,7035
2013,58,NYG,Victor Cruz,WR,00-0027265,5827
2013,59,KC,Derrick Johnson,LB,00-0023449,2232
2013,60,MIN,Jared Allen,ED,00-0022740,1847
2013,61,PIT,Ben Roethlisberger,QB,00-0022924,1732
2013,62,TEN,Chris Johnson,HB,00-0026164,4338
2013,63,DET,Stephen Tulloch,LB,00-0024331,3061
2013,64,WAS,Alfred Morris,HB,00-0029141,7165
2013,65,KC,Dwayne Bowe,WR,00-0025410,3639
2013,66,SEA,Earl Thomas,S,00-0027866,5539
2013,67,TB,Darrelle Revis,CB,00-0025401,3630
2013,68,DEN,Demaryius Thomas,WR,00-0027874,5547
2013,69,CHI,Tim Jennings,CB,00-0024277,3007
2013,70,MIN,Chad Greenway,LB,00-0024232,2962
2013,71,IND,Trent Richardson,HB,00-0029675,7009
2013,72,BUF,Mario Williams,ED,00-0023750,2946
2013,73,LAC,Antonio Gates,TE,00-0021547,1609
2013,74,IND,Robert Mathis,ED,00-0022059,1447
2013,75,KC,Brandon Flowers,CB,00-0026175,4349
2013,76,DET,Matthew Stafford,QB,00-0026498,4924
2013,77,NE,Aaron Hernandez,TE,00-0027713,5637
2013,78,SF,Joe Staley,T,00-0025415,3644
2013,79,CAR,Luke Kuechly,LB,00-0029248,7015
2013,80,LAC,Dwight Freeney,ED,00-0021146,1019
2013,81,SF,Colin Kaepernick,QB,00-0027974,6188
2013,82,NE,Logan Mankins,G,00-0023467,2249
2013,83,CHI,Lance Briggs,LB,00-0022128,1383
2013,84,CAR,Steve Smith,WR,00-0020337,837
2013,85,LV,Charles Woodson,S,00-0018227,330
2013,86,WAS,London Fletcher,LB,00-0005322,424
2013,87,TEN,Bernard Pollard,S,00-0024269,2999
2013,88,BAL,Jacoby Jones,WR,00-0025460,3689
2013,89,MIA,Cameron Wake,ED,00-0023368,4907
2013,90,SEA,Percy Harvin,WR,00-0026998,4945
2013,91,PIT,Troy Polamalu,S,00-0022119,1332
2013,92,TB,Gerald McCoy,DI,00-0027856,5528
2013,93,SF,Anquan Boldin,WR,00-0022084,1369
2013,94,ARI,Daryl Washington,LB,00-0027886,5572
2013,95,SEA,Max Unger,C,00-0027025,4972
2013,96,TB,Dashon Goldson,S,00-0025513,3742
2013,97,PIT,Heath Miller,TE,00-0023465,2247
2013,98,JAX,Maurice Jones-Drew,HB,00-0024275,3005
2013,99,WAS,Trent Williams,T,00-0027857,5529
2013,100,BAL,Dennis Pitta,TE,00-0027714,5638
2014,1,DEN,Peyton Manning,QB,00-0010346,327
2014,2,DET,Calvin Johnson,WR,00-0025389,3618
2014,3,NE,Tom Brady,QB,00-0019596,698
2014,4,MIN,Adrian Peterson,HB,00-0025394,3623
2014,5,PHI,LeSean McCoy,HB,00-0027029,4976
2014,6,NO,Drew Brees,QB,00-0020531,802
2014,7,SEA,Richard Sherman,CB,00-0028092,6306
2014,8,KC,Jamaal Charles,HB,00-0026213,4387
2014,9,CIN,A.J. Green,WR,00-0027942,6156
2014,10,NO,Jimmy Graham,TE,00-0027696,5619
2014,11,GB,Aaron Rodgers,QB,00-0023459,2241
2014,12,HOU,J.J. Watt,ED,00-0027949,6163
2014,13,LA,Robert Quinn,ED,00-0027952,6166
2014,14,SEA,Marshawn Lynch,HB,00-0025399,3628
2014,15,CAR,Luke Kuechly,LB,00-0029248,7015
2014,16,CLE,Josh Gordon,WR,00-0029664,7618
2014,17,SEA,Earl Thomas,S,00-0027866,5539
2014,18,CLE,Joe Thomas,T,00-0025390,3619
2014,19,IND,Robert Mathis,ED,00-0022059,1447
2014,20,SEA,Russell Wilson,QB,00-0029263,7077
2014,21,HOU,Andre Johnson,WR,00-0022044,1319
2014,22,ARI,Patrick Peterson,CB,00-0027943,6157
2014,23,PIT,Antonio Brown,WR,00-0027793,5718
2014,24,CAR,Cam Newton,QB,00-0027939,6153
2014,25,DAL,Dez Bryant,WR,00-0027902,5549
2014,26,BAL,Terrell Suggs,ED,00-0022161,1326
